OTU_ID	1A	1B	1C	1D	1E	2A	2B	2C	2D	2E	3A	3B	3C	3D	3E
OTU_174	0	0	0	2	0	1	0	28	0	0	0	0	0	0	0
OTU_175	0	5	1	23	0	5	0	3	8	0	0	0	0	0	0
OTU_176	5	0	3	0	0	1	0	3	0	0	7	4	6	1	4
OTU_177	0	3	0	17	0	7	1	0	0	0	0	0	0	0	0
OTU_178	0	3	0	8	0	5	0	2	47	0	0	0	0	0	0
OTU_179	0	0	0	4	0	29	1	0	0	0	0	0	0	0	0
OTU_180	0	2	1	41	0	1	0	4	3	0	0	0	0	0	0
OTU_181	0	0	0	11	0	4	44	3	0	0	0	0	0	0	0
OTU_182	0	1	0	30	0	10	0	8	0	0	0	0	0	0	0
OTU_183	0	2	0	1	0	1	21	3	0	0	0	0	0	0	0
OTU_184	0	2	1	3	0	9	9	3	1	0	0	0	0	0	0
OTU_185	0	8	0	10	0	5	0	0	0	0	0	2	0	0	0
OTU_186	0	4	0	5	0	7	2	17	0	0	0	0	0	0	0
OTU_187	7	3	1	3	0	0	0	0	39	0	0	0	0	2	0
OTU_188	15	0	0	0	0	3	0	1	0	0	1	0	2	1	0
OTU_189	4	5	0	3	0	9	0	2	19	0	0	0	0	0	0
OTU_190	0	6	0	7	0	2	34	0	0	0	0	0	0	0	0
OTU_191	18	9	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_192	0	0	0	74	0	8	0	2	15	0	0	0	0	0	0
OTU_193	1	1	0	8	0	10	13	4	1	0	0	0	0	0	0
OTU_194	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0
OTU_195	1	0	0	14	0	6	0	0	0	0	2	2	0	0	0
OTU_196	0	1	0	2	0	37	0	11	9	0	0	0	0	0	0
OTU_197	0	0	0	3	0	11	43	4	2	0	0	0	0	0	0
OTU_198	0	0	0	7	0	36	0	0	0	0	0	0	0	0	0
OTU_199	2	1	0	0	0	11	2	6	0	0	0	0	0	0	0
OTU_200	0	2	0	2	0	8	5	3	0	0	0	0	0	0	0
OTU_201	0	0	0	36	0	2	0	0	0	0	0	0	0	0	0
OTU_202	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
OTU_203	0	1	0	1	0	20	0	1	0	0	0	0	0	0	0
OTU_204	3	17	2	83	0	71	12	21	6	0	0	0	0	0	0
OTU_205	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0
OTU_206	0	1	0	0	0	3	0	8	0	0	0	0	1	0	0
OTU_207	0	9	7	0	0	22	2	2	0	0	0	0	0	0	0
OTU_208	0	1	0	1	0	6	0	9	13	0	0	0	0	0	0
OTU_209	0	1	0	35	0	2	0	24	1	0	0	0	0	0	0
OTU_210	0	0	0	3	0	16	13	7	0	0	0	0	0	0	0
OTU_211	0	0	0	4	0	1	31	0	0	0	0	0	0	0	0
OTU_212	6	7	0	74	0	30	10	17	3	0	0	0	0	0	0
OTU_213	0	0	0	10	0	9	0	1	0	8	0	0	0	0	0
OTU_214	0	0	0	40	0	3	1	6	0	0	0	0	0	0	0
OTU_215	0	2	0	2	0	5	6	3	0	0	0	0	0	0	0
OTU_216	0	0	0	7	0	27	0	0	0	0	0	0	0	0	0
OTU_217	0	8	1	0	0	19	2	4	0	0	0	0	0	0	0
OTU_218	0	2	0	21	0	22	1	1	5	0	0	0	0	0	0
OTU_219	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
OTU_220	0	1	0	15	0	3	0	1	0	0	0	0	0	0	0
OTU_221	0	0	1	3	2	1	11	2	0	0	0	0	0	0	0
OTU_222	0	0	0	0	0	18	0	1	1	0	0	0	0	0	0
OTU_223	0	0	0	0	0	0	10	15	1	0	0	0	0	0	0
OTU_224	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
OTU_225	0	1	0	2	0	20	1	0	0	0	0	0	0	0	0
OTU_226	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0
OTU_227	0	0	0	17	0	0	0	8	0	0	0	0	0	0	0
OTU_228	0	1	0	1	0	4	28	0	0	0	0	0	0	0	0
OTU_229	0	2	0	8	0	3	10	7	0	0	0	0	0	1	0
OTU_230	0	0	0	5	0	0	0	0	24	0	0	0	0	0	0
OTU_231	0	1	0	15	0	9	0	1	0	0	0	0	0	0	0
OTU_232	3	5	0	0	0	4	0	1	7	0	2	0	4	0	0
OTU_233	0	0	3	5	0	1	3	6	0	0	0	0	0	1	0
OTU_234	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_235	2	0	0	0	0	0	0	15	0	0	0	1	0	0	0
OTU_236	0	2	0	2	0	46	2	2	0	0	0	0	0	0	0
OTU_237	1	4	0	14	0	16	6	4	2	0	0	0	0	0	0
OTU_238	0	4	0	4	0	1	0	1	25	0	0	0	0	0	0
OTU_239	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
OTU_240	0	2	0	12	0	5	3	0	3	0	0	0	0	0	0
OTU_241	0	1	0	6	0	0	1	2	13	0	0	0	0	0	0
OTU_242	0	0	0	3	0	4	3	21	0	0	0	0	0	0	0
OTU_243	0	0	0	0	1	0	0	26	0	0	0	0	0	0	0
OTU_244	15	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_245	0	1	0	0	1	4	25	1	0	0	0	0	0	0	0
OTU_246	2	0	0	17	0	2	0	9	2	0	0	3	8	0	0
OTU_247	3	1	0	1	0	0	0	2	0	0	3	0	6	0	0
OTU_248	0	4	0	12	0	0	0	3	1	0	0	0	0	0	0
OTU_249	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
OTU_250	0	0	0	0	0	0	0	0	23	2	0	0	0	0	0
OTU_251	9	2	1	0	0	0	0	1	0	0	3	4	0	0	0
OTU_252	0	1	0	16	2	23	0	0	1	0	0	0	0	0	0
OTU_253	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
OTU_254	0	3	0	12	0	12	0	21	0	0	0	0	0	0	0
OTU_255	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0
OTU_256	0	4	0	0	0	18	0	5	0	0	0	0	0	0	0
OTU_257	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
OTU_258	1	0	1	11	0	2	5	17	2	0	0	0	0	0	0
OTU_259	0	1	0	1	0	0	26	0	0	0	0	0	0	0	0
OTU_260	9	9	1	33	0	52	1	5	6	0	1	0	6	0	0
OTU_261	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0
OTU_262	0	0	2	25	0	4	1	1	0	0	0	0	0	0	0
OTU_263	0	0	2	26	0	3	0	3	6	0	0	0	0	0	0
OTU_264	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0
OTU_265	0	1	1	8	0	0	5	24	0	3	0	0	0	0	0
OTU_266	0	0	0	7	0	0	0	0	12	0	0	0	0	0	0
OTU_267	0	0	9	2	0	1	0	0	11	0	0	0	0	0	0
OTU_268	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0
OTU_269	0	0	0	19	0	0	0	7	0	0	0	0	0	0	0
OTU_270	0	0	0	3	0	57	0	0	0	0	0	0	0	0	0
OTU_271	3	2	0	1	0	5	0	13	0	0	0	0	1	0	0
OTU_272	0	0	0	3	0	4	2	3	16	1	0	0	0	0	0
OTU_273	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
OTU_274	4	17	0	4	0	3	6	4	0	0	0	0	0	0	0
OTU_275	13	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_276	0	0	0	25	0	3	1	2	3	0	0	0	0	0	0
OTU_277	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
OTU_278	0	0	0	7	0	6	1	2	0	0	0	0	0	0	0
OTU_279	0	0	0	0	0	4	0	0	12	2	0	0	0	0	0
OTU_280	1	1	0	2	0	9	9	5	1	0	0	0	0	0	0
OTU_281	0	1	0	4	0	0	3	32	0	0	0	0	0	0	0
OTU_282	0	1	0	1	0	8	0	1	0	0	0	0	0	0	0
OTU_283	0	7	2	0	0	1	0	0	8	0	0	0	0	0	0
OTU_284	2	3	0	1	0	2	0	1	16	1	0	0	0	0	0
OTU_285	0	1	0	0	0	2	0	0	10	0	0	0	0	0	2
